split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5694577534384746,0.7718709588306106,0.9447583037667772,0.5265574230995906,0.8070534121863836,1.002763089745194
1,0.5592415759803371,0.7817139799460938,0.9485200254739797,0.52207324322495,0.8209449509616914,1.007500700143659
2,0.5607101299057459,0.7839876212426389,0.9502230180324006,0.5208123576047097,0.8256120529040605,1.0088288391974076
3,0.5611536756095541,0.7796523248917177,0.9517124464098525,0.5148087742493332,0.8241259941238621,1.0151288093553594
4,0.5546667676683672,0.7831032654888143,0.9542733938972973,0.5108956860271952,0.8300080508314895,1.0192141177274903
5,0.5713135287711508,0.7761056477481646,0.9489178109678059,0.5233553320667182,0.8172023308850954,1.0061484292828617
6,0.5522500525488734,0.7973557386563107,0.964110122275822,0.503672941217757,0.8373354033069182,1.0267120529000062
7,0.5695841339509663,0.7779308851147567,0.9453181439758408,0.5030722716178817,0.8342312911110931,1.0273331435985147
8,0.5390339433609971,0.8062013438306571,0.9811130021734905,0.49102011542168444,0.8426449661024109,1.039716637187469
9,0.5532871691538368,0.7870529562396225,0.9592377568389132,0.5087999358680629,0.8303735025379471,1.0213953854403586
